recording,lfp_start,lfp_end,theta_start,theta_end,ripple_start,ripple_end,fisure,oriens_start,oriens_stop,pyramid_start,pyramid_stop,rad_start,rad_stop,locmol_start,locmol_stop,dentup_start,dentup_stop,dentdown_start,dentdown_stop
0,24077,18029080,94,171,105.0,122.0,135.0,0,5.0,6.0,14.0,15.0,17.0,18.0,20.0,21.0,29.0,30.0,38
1,56145,18614969,93,148,103.0,120.0,125.0,0,5.0,6.0,13.0,14.0,14.0,15.0,16.0,17.0,21.0,22.0,27
2,87594,18093008,75,131,85.0,98.0,120.0,0,5.0,6.0,11.0,12.0,17.0,18.0,22.0,23.0,25.0,26.0,28
3,62372,18064301,64,111,82.0,92.0,98.0,0,9.0,10.0,14.0,15.0,15.0,16.0,17.0,18.0,20.0,21.0,23
4,58586,18068529,78,127,100.0,117.0,,0,11.0,12.0,19.0,20.0,,,,,,,24
5,36874,18018439,0,0,,,,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0
6,38525,18046552,0,0,,,,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0
7,38439,18060209,60,123,103.0,112.0,75.0,0,21.0,22.0,26.0,27.0,16.0,17.0,7.0,8.0,19.0,20.0,31
8,28792,18039519,65,150,65.0,79.0,125.0,0,0.0,1.0,7.0,8.0,18.0,19.0,30.0,31.0,36.0,37.0,42
9,23493,18035202,54,150,64.0,78.0,,0,5.0,6.0,12.0,13.0,,,,,,,48
10,31173,18041846,40,110,43.0,64.0,,0,1.0,2.0,12.0,13.0,,,,,,,35
11,34482,22565378,66,130,76.0,88.0,96.0,0,5.0,6.0,11.0,12.0,13.0,14.0,15.0,16.0,23.0,24.0,32
12,23697,22531901,57,116,69.0,88.0,95.0,0,6.0,7.0,15.0,16.0,17.0,18.0,19.0,20.0,24.0,25.0,29
13,29867,22563238,79,146,96.0,118.0,,0,8.0,9.0,19.0,20.0,,,,,,,33
14,32168,22554383,65,120,82.0,93.0,98.0,0,8.0,9.0,14.0,15.0,15.0,16.0,16.0,17.0,22.0,23.0,27
15,37339,18043918,72,125,,,,0,,,,,,,,,,,26
16,26681,18089005,64,131,74.0,86.0,90.0,0,5.0,6.0,11.0,12.0,12.0,13.0,13.0,14.0,23.0,24.0,33
17,26326,18030717,20,70,33.0,46.0,,0,6.0,7.0,13.0,14.0,,,,,,,25
18,20968,22507431,80,128,93.0,108.0,119.0,0,6.0,7.0,14.0,15.0,16.0,17.0,19.0,20.0,21.0,22.0,24
19,21844,22518851,63,127,73.0,86.0,,0,5.0,6.0,11.0,12.0,,,,,,,32
20,22903,22554525,70,130,84.0,97.0,,0,7.0,8.0,13.0,14.0,,,,,,,30
21,19528,22524548,57,130,73.0,84.0,115.0,0,8.0,9.0,13.0,14.0,21.0,22.0,29.0,30.0,32.0,33.0,36
22,19486,22528772,72,132,84.0,92.0,96.0,0,6.0,7.0,10.0,11.0,11.0,12.0,12.0,13.0,21.0,22.0,30
23,34211,22542761,47,120,62.0,78.0,94.0,0,7.0,8.0,15.0,16.0,19.0,20.0,23.0,24.0,30.0,31.0,36
24,38166,22554899,74,121,86.0,99.0,96.0,0,6.0,7.0,12.0,13.0,11.0,12.0,11.0,12.0,17.0,18.0,23
25,22423,22533041,78,144,86.0,99.0,110.0,0,4.0,5.0,10.0,11.0,13.0,14.0,16.0,17.0,24.0,25.0,33
26,19990,27025646,50,125,65.0,77.0,110.0,0,7.0,8.0,13.0,14.0,21.0,22.0,30.0,31.0,33.0,34.0,37
27,17918,27040683,31,107,41.0,69.0,,0,5.0,6.0,19.0,20.0,,,,,,,38
28,20968,18044776,14,75,37.0,45.0,,0,11.0,12.0,15.0,16.0,,,,,,,30
29,32361,18038855,70,125,,,96.0,0,,,,,,,13.0,14.0,20.0,21.0,27
30,21772,22644016,77,143,118.0,131.0,115.0,0,20.0,21.0,27.0,28.0,23.0,24.0,19.0,20.0,26.0,27.0,33
31,26500,22540736,89,160,89.0,105.0,130.0,0,0.0,1.0,8.0,9.0,14.0,15.0,20.0,21.0,28.0,29.0,35
32,29044,18034461,86,150,100.0,116.0,132.0,0,7.0,8.0,15.0,16.0,19.0,20.0,23.0,24.0,27.0,28.0,32
33,26544,18058282,78,145,91.0,107.0,123.0,0,6.0,7.0,14.0,15.0,18.0,19.0,22.0,23.0,28.0,29.0,33
34,26951,22534076,58,110,,,,0,,,,,,,,,,,26
35,32114,22536333,67,121,102.0,114.0,,0,17.0,18.0,23.0,24.0,,,,,,,27
